Kỳ dữ liệu,Cặp phân tích,Chiều 1,Giá trị chiều 1,Chiều 2,Giá trị chiều 2,Cấp sản phẩm,Số dòng nguồn,Ads Cost (VND),Nguồn,Sheet,Dòng nguồn,Mapping version,Trạng thái coverage,Lý do,Bước xử lý
2026-03,Nền tảng × Sản phẩm,Publisher platform,Không có trong source,Sản phẩm,Chưa kiểm tra được,,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,,Thiếu nguồn/thiếu chiều,Dataset hiện tại không có Publisher platform; không được tự gán Facebook/Instagram/WhatsApp.,Xin breakdown Publisher platform cùng kỳ và khóa nối/grain tương thích.
2026-03,Nền tảng × Phễu,Publisher platform,Không có trong source,Phễu,Chưa kiểm tra được,,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,,Thiếu nguồn/thiếu chiều,Dataset hiện tại không có Publisher platform; không được tự gán Facebook/Instagram/WhatsApp.,Xin breakdown Publisher platform cùng kỳ và khóa nối/grain tương thích.
2026-03,Nền tảng × Campaign objective,Publisher platform,Không có trong source,Campaign objective,Chưa kiểm tra được,,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,,Thiếu nguồn/thiếu chiều,Dataset hiện tại không có Publisher platform; không được tự gán Facebook/Instagram/WhatsApp.,Xin breakdown Publisher platform cùng kỳ và khóa nối/grain tương thích.
2026-04,Nền tảng × Sản phẩm,Publisher platform,Không có trong source,Sản phẩm,Chưa kiểm tra được,,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,,Thiếu nguồn/thiếu chiều,Dataset hiện tại không có Publisher platform; không được tự gán Facebook/Instagram/WhatsApp.,Xin breakdown Publisher platform cùng kỳ và khóa nối/grain tương thích.
2026-04,Nền tảng × Phễu,Publisher platform,Không có trong source,Phễu,Chưa kiểm tra được,,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,,Thiếu nguồn/thiếu chiều,Dataset hiện tại không có Publisher platform; không được tự gán Facebook/Instagram/WhatsApp.,Xin breakdown Publisher platform cùng kỳ và khóa nối/grain tương thích.
2026-04,Nền tảng × Campaign objective,Publisher platform,Không có trong source,Campaign objective,Chưa kiểm tra được,,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,,Thiếu nguồn/thiếu chiều,Dataset hiện tại không có Publisher platform; không được tự gán Facebook/Instagram/WhatsApp.,Xin breakdown Publisher platform cùng kỳ và khóa nối/grain tương thích.
2026-05,Nền tảng × Sản phẩm,Publisher platform,Không có trong source,Sản phẩm,Chưa kiểm tra được,,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,,Thiếu nguồn/thiếu chiều,Dataset hiện tại không có Publisher platform; không được tự gán Facebook/Instagram/WhatsApp.,Xin breakdown Publisher platform cùng kỳ và khóa nối/grain tương thích.
2026-05,Nền tảng × Phễu,Publisher platform,Không có trong source,Phễu,Chưa kiểm tra được,,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,,Thiếu nguồn/thiếu chiều,Dataset hiện tại không có Publisher platform; không được tự gán Facebook/Instagram/WhatsApp.,Xin breakdown Publisher platform cùng kỳ và khóa nối/grain tương thích.
2026-05,Nền tảng × Campaign objective,Publisher platform,Không có trong source,Campaign objective,Chưa kiểm tra được,,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,,Thiếu nguồn/thiếu chiều,Dataset hiện tại không có Publisher platform; không được tự gán Facebook/Instagram/WhatsApp.,Xin breakdown Publisher platform cùng kỳ và khóa nối/grain tương thích.
2026-03,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Vi sinh khử mùi,Nhóm sản phẩm,2,1781257,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"17,23",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
